A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/1/2017 0:00,2017,1,1,0,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 1:00,2017,1,1,1,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 2:00,2017,1,1,2,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 3:00,2017,1,1,3,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 4:00,2017,1,1,4,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 5:00,2017,1,1,5,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 6:00,2017,1,1,6,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 7:00,2017,1,1,7,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 8:00,2017,1,1,8,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 9:00,2017,1,1,9,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 10:00,2017,1,1,10,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 11:00,2017,1,1,11,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 12:00,2017,1,1,12,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 13:00,2017,1,1,13,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 14:00,2017,1,1,14,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 15:00,2017,1,1,15,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 16:00,2017,1,1,16,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 17:00,2017,1,1,17,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 18:00,2017,1,1,18,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 19:00,2017,1,1,19,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 20:00,2017,1,1,20,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 21:00,2017,1,1,21,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 22:00,2017,1,1,22,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/1/2017 23:00,2017,1,1,23,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 0:00,2017,1,2,0,-999,µg/m³,1 Hr,Missing
